ThumbFlex;0;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
IndexFlex;0;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
MiddleFlex;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
RingFlex;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
LittleFlex;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
ThumbExt;0;-1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
IndexExt;0;0.00,0.00,0.00,0.00;-1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
MiddleExt;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;-1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
RingExt;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;-1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
LittleExt;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;-1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
ThumbInt;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;-1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
ThumbIntE;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
IndexInt;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
LittleInt;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
WristFlex;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
WristRadialDev;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,0.50,0.10;0.00,0.00,0.00,0.00;
