ThumbFlex;0;1.00,0.00,1.00,1.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
ThumbExt;0;-1.00,0.00,1.00,1.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
IndexFlex;0;0.00,0.00,0.00,0.00;1.00,0.00,1.00,1.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
MiddleFlex;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,1.00,1.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
WristExt;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;-1.00,0.00,1.00,1.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
WristFlex;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,1.00,1.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
LittleFlex;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,1.00,1.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
RingFlex;0;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;1.00,0.00,1.00,1.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
IndexExt;0;0.00,0.00,0.00,0.00;-1.00,0.00,1.00,1.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
Grasp;0;1.00,0.00,1.00,1.00;1.00,0.00,1.00,1.00;1.00,0.00,1.00,1.00;1.00,0.00,1.00,1.00;1.00,0.00,1.00,1.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
IndexThPinch;0;1.00,0.00,1.00,1.00;1.00,0.00,1.00,1.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
Point;0;-1.00,0.00,1.00,1.00;-1.00,0.00,1.00,1.00;1.00,0.00,1.00,1.00;1.00,0.00,1.00,1.00;1.00,0.00,1.00,1.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00;
