MiddleFE;0;0,0,0,0;0,0,0,0;-1,0.795,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbInt;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;1,0.815,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbInt;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.963,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
WristFE;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.161,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
TripodPinch;0;-1,0.911,1,0.5;-1,0.911,1,0.5;-1,0.911,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
WristFE;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.491,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
RingFE;0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.624,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
Grasp;0;1,0.0159,1,0.5;1,0.0159,1,0.5;1,0.0159,1,0.5;1,0.0159,1,0.5;1,0.0159,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbFE;0;-1,0.766,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbInt;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;1,0.0674,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
WristFE;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;1,0.302,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
RingFE;0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.306,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbIndPinch;0;-1,0.21,1,0.5;-1,0.21,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbIndPinch;0;1,0.0395,1,0.5;1,0.0395,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
TripodPinch;0;-1,0.0835,1,0.5;-1,0.0835,1,0.5;-1,0.0835,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
IndexFE;0;0,0,0,0;-1,0.622,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbInt;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.451,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
IndexFE;0;0,0,0,0;-1,0.853,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbIndPinch;0;-1,0.879,1,0.5;-1,0.879,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
LittleFE;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.0378,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
IndexFE;0;0,0,0,0;-1,0.78,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbInt;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.394,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
RingFE;0;0,0,0,0;0,0,0,0;0,0,0,0;1,0.391,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbFE;0;1,0.181,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
MiddleFE;0;0,0,0,0;0,0,0,0;-1,0.902,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbFE;0;1,0.157,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
Grasp;0;1,0.618,1,0.5;1,0.618,1,0.5;1,0.618,1,0.5;1,0.618,1,0.5;1,0.618,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
TripodPinch;0;1,0.422,1,0.5;1,0.422,1,0.5;1,0.422,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbIndPinch;0;1,0.633,1,0.5;1,0.633,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
WristFE;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.081,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
IndexFE;0;0,0,0,0;1,0.202,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
Grasp;0;-1,0.0312,1,0.5;-1,0.0312,1,0.5;-1,0.0312,1,0.5;-1,0.0312,1,0.5;-1,0.0312,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
LittleFE;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.716,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
Grasp;0;1,0.433,1,0.5;1,0.433,1,0.5;1,0.433,1,0.5;1,0.433,1,0.5;1,0.433,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
MiddleFE;0;0,0,0,0;0,0,0,0;-1,0.961,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
MiddleFE;0;0,0,0,0;0,0,0,0;1,0.272,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbIndPinch;0;1,0.234,1,0.5;1,0.234,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
LittleFE;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;1,0.69,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbFE;0;-1,0.572,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
Grasp;0;-1,0.574,1,0.5;-1,0.574,1,0.5;-1,0.574,1,0.5;-1,0.574,1,0.5;-1,0.574,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
TripodPinch;0;1,0.242,1,0.5;1,0.242,1,0.5;1,0.242,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
LittleFE;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.125,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbIndPinch;0;1,0.822,1,0.5;1,0.822,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
TripodPinch;0;1,0.349,1,0.5;1,0.349,1,0.5;1,0.349,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
Grasp;0;-1,0.405,1,0.5;-1,0.405,1,0.5;-1,0.405,1,0.5;-1,0.405,1,0.5;-1,0.405,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
MiddleFE;0;0,0,0,0;0,0,0,0;-1,0.117,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
RingFE;0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.932,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
MiddleFE;0;0,0,0,0;0,0,0,0;1,0.512,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbFE;0;1,0.166,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbIndPinch;0;1,0.0151,1,0.5;1,0.0151,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
RingFE;0;0,0,0,0;0,0,0,0;0,0,0,0;-1,0.994,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
WristFE;0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;1,0.00242,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbFE;0;-1,0.903,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
KeyGrip;0;0,0,0,0;1,0.572,1,0.5;1,0.572,1,0.5;1,0.572,1,0.5;1,0.572,1,0.5;1,0.572,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
IndexFE;0;0,0,0,0;-1,0.103,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbFE;0;1,0.0218,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
ThumbIndPinch;0;1,0.782,1,0.5;1,0.782,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
MiddleFE;0;0,0,0,0;0,0,0,0;-1,0.656,1,0.5;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0;
